,gene,score
345,366,0.02832151483744383
733,774,0.021462097764015198
214,226,0.011329750996083021
860,902,0.010149389039725065
175,184,0.009592715883627534
259,274,0.00788448192179203
189,198,0.007640230469405651
461,485,0.007045858772471547
111,117,0.006846670527011156
864,906,0.006743084988556802
166,175,0.006422129110433161
504,529,0.00604188465513289
876,919,0.005972732207737863
329,349,0.00595162867102772
716,754,0.005580020661000162
609,641,0.005565391620621085
823,864,0.0051913755014538765
27,28,0.005044679739512503
602,632,0.004980102879926562
731,772,0.004644139437004924
210,222,0.004493236599955708
290,306,0.0044613485224545
98,104,0.004439285316038877
882,926,0.004361344675999135
809,850,0.004243128816597164
257,272,0.004209626233205199
417,441,0.003958247893024236
714,752,0.003940962429624051
368,390,0.003927404817659408
478,503,0.003855727205518633
362,383,0.0038467185804620385
763,804,0.0038392243441194296
564,593,0.003580511314794421
545,574,0.0035663547459989786
829,870,0.003541515441611409
318,335,0.0034877040015999228
102,108,0.0033468695255578496
699,736,0.0032915747142396867
258,273,0.0032778808381408453
643,675,0.003201511222869158
611,643,0.003150907519739121
751,792,0.003129192744381726
888,932,0.003114002523943782
632,664,0.003096323722274974
392,416,0.0030897335382178426
863,905,0.003052123880479485
698,735,0.0030302723753266037
125,133,0.0030172192491590977
509,534,0.0029578772373497486
121,128,0.0028847389621660113
251,266,0.0028804383473470807
808,849,0.0028059343458153307
429,453,0.0027728399727493525
589,618,0.002768175327219069
585,614,0.002748723840340972
921,966,0.002651206508744508
183,192,0.0026397702749818563
768,809,0.0026155708474107087
146,155,0.0026068271254189312
319,336,0.0025897861924022436
123,130,0.002589783282019198
433,457,0.002529485267587006
868,910,0.002512448641937226
767,808,0.002506219723727554
925,970,0.002473819302394986
856,898,0.002467756246915087
587,616,0.002462791046127677
854,895,0.002453135442920029
354,375,0.0024192128621507436
786,827,0.0023848337586969137
358,379,0.0023621230793651193
880,924,0.002361814636969939
240,253,0.0023608735646121204
403,427,0.002347498113522306
57,59,0.002336941019166261
610,642,0.002329820010345429
107,113,0.002311737946001813
49,51,0.0022032037377357483
460,484,0.002194348839111626
307,324,0.0021825849544256926
770,811,0.002177929040044546
41,42,0.002162488759495318
295,312,0.002158418676117435
571,600,0.0021364962158259004
911,956,0.002102406171616167
920,965,0.002089631394483149
140,149,0.002087470202241093
230,243,0.0020735923026222736
739,780,0.0020644180476665497
581,610,0.002057734178379178
198,207,0.002057468460407108
772,813,0.0020570546621456742
702,740,0.00205667270347476
135,143,0.002009390154853463
771,812,0.0019991249428130686
486,511,0.0019931953283958137
232,245,0.0019866953225573525
134,142,0.001972075493540615
310,327,0.0019598486833274364
858,900,0.001933592779096216
339,360,0.0019251837220508605
901,946,0.0019184500561095774
578,607,0.0018774198251776397
